customer_id,age,gender,income_level,region,occupation_type
C00001,25,Male,Low,白沙縣,排版人員
C00002,72,Female,Medium,永康,可靠度工程師
C00003,24,Male,Medium,樹林市,護理師
C00004,57,Male,High,鳳山,演奏家
C00005,43,Female,Medium,嘉義縣,水產養殖工作者
C00006,51,Female,High,臺東市,行政助理
C00007,68,Female,Medium,白沙,防火及建築檢驗人員
C00008,36,Female,Medium,鳳山縣,國外業務人員
C00009,77,Male,High,嘉義縣,系統維護／操作人員
C00010,25,Female,Medium,中壢市,法務／智財主管
C00011,57,Male,High,樹林,副教授
C00012,66,Male,High,澎湖縣,西點／蛋糕師
C00013,68,Male,High,板橋市,金融理財專員
C00014,66,Male,Medium,白沙縣,查帳／審計人員
C00015,52,Male,High,竹田,語文補習班老師
C00016,30,Female,Low,北斗,化學研究員
C00017,25,Female,Low,馬公市,成本會計
C00018,19,Female,Medium,竹北市,業務支援工程師
C00019,38,Female,High,蘆竹,IC封裝／測試工程師
C00020,77,Male,Medium,馬公市,應用科學研究員
C00021,50,Male,High,牡丹市,發包人員
C00022,80,Female,High,大里縣,美容類助理
C00023,70,Female,Medium,三重市,安親班老師
C00024,52,Male,Medium,頭份,醫療設備控制人員
C00025,22,Female,Low,竹田縣,音樂家
C00026,70,Female,High,新竹,麵包師
C00027,44,Female,High,員林,主管特別助理
C00028,80,Female,High,台北市,助教
C00029,20,Female,Low,宜蘭市,鑄造／鍛造模具技術人員
C00030,47,Female,Medium,汐止縣,染整技術人員
C00031,42,Female,Low,金門縣,LCD設備工程師
C00032,75,Male,Medium,頭份市,研究人員
C00033,72,Male,High,中壢市,塗裝技術人員
C00034,38,Female,Low,蘆竹,導遊
C00035,36,Female,Medium,汐止縣,鑄造／鍛造模具技術人員
C00036,41,Male,Medium,朴子市,勞工安全衛生管理師
C00037,34,Female,High,宜蘭市,儲備幹部
C00038,61,Male,High,中和縣,工程配管繪圖
C00039,35,Female,Low,永和市,資訊設備管制人員
C00040,55,Male,Medium,阿里山市,視聽工程類人員
C00041,58,Female,High,豐原,工商登記服務人員
C00042,43,Female,Medium,板橋市,行銷企劃主管
C00043,59,Female,Medium,太保,通信測試維修人員
C00044,52,Male,High,平鎮縣,國小學校教師
C00045,65,Female,High,三重,硬體研發工程師
C00046,22,Female,Low,新竹縣,樂器製造員
C00047,75,Male,Medium,新營縣,網路管理工程師
C00048,59,Female,High,豐原市,行政人員
C00049,51,Female,Medium,台南市,醫事檢驗師
C00050,78,Female,High,竹田縣,消防專業人員
C00051,40,Male,High,新營市,廣告企劃主管
C00052,32,Female,Low,三重,保稅人員
C00053,46,Male,Low,臺東,網頁設計師
C00054,60,Male,High,北竿市,金融交易員
C00055,73,Female,High,中和,SMT工程師
C00056,54,Female,High,草屯市,不動產產權審核／估價師
C00057,44,Male,Low,關山,手工包裝工
C00058,28,Male,Low,朴子市,焊接及切割技術員
C00059,74,Female,High,北斗,食品研發人員
C00060,25,Female,Medium,永康市,工務人員／助理
C00061,65,Female,Medium,連江縣,生命禮儀師
C00062,27,Male,Medium,台北縣,融資／信用業務人員
C00063,29,Male,Medium,臺東縣,焊接及切割技術員
C00064,46,Female,Low,樹林,勞工安全衛生管理人員
C00065,18,Male,Medium,北竿縣,藥學助理
C00066,49,Male,Low,梅山縣,播音／配音人員
C00067,34,Female,Low,中和,零件工程師
C00068,70,Female,High,中壢市,內業工程師
C00069,80,Female,Medium,台北市,廠務
C00070,55,Female,Medium,牡丹,吊車／起重機設備操作員
C00071,30,Male,High,北斗,運動教練
C00072,62,Female,High,桃園,飛安人員
C00073,47,Male,Medium,橫山,機電技師／工程師
C00074,78,Female,Medium,朴子縣,攝影師
C00075,34,Male,High,桃園市,記帳／出納／一般會計
C00076,51,Female,Medium,臺東縣,電話行銷人員
C00077,45,Female,Medium,竹田,志工人員
C00078,45,Male,Low,鳳山縣,金融研究員
C00079,36,Female,Medium,永和,PCB技術人員
C00080,35,Female,Medium,花蓮,法務助理
C00081,28,Female,Low,卑南,不動產／商場開發人員
C00082,65,Female,Medium,馬公市,軟體設計工程師
C00083,60,Male,Medium,斗六市,醫院行政管理人員
C00084,67,Male,Medium,汐止,物理治療師
C00085,67,Male,High,草屯縣,醫事檢驗師
C00086,47,Female,Low,褒忠縣,熱傳工程師
C00087,46,Male,Low,阿里山,混凝土工
C00088,30,Male,Medium,金門,融資／信用業務人員
C00089,24,Female,Medium,大里縣,社會／人類學研究人員
C00090,22,Female,Low,梅山,攝影助理
C00091,73,Male,High,彰化,家事服務人員
C00092,64,Male,Medium,彰化,視聽工程類人員
C00093,27,Male,Low,褒忠縣,自動控制工程師
C00094,51,Male,Medium,新北,金融專業主管
C00095,43,Male,Medium,馬公縣,升學補習班老師
C00096,73,Female,Medium,斗六,資訊專業人員
C00097,35,Female,Medium,北港市,生物學專業與研究
C00098,45,Male,Low,新北市,通路開發人員
C00099,62,Female,High,鳳山,電機工程技術員
C00100,70,Female,High,澎湖,融資／信用業務人員
C00101,75,Male,High,花蓮市,化學研究員
C00102,64,Male,High,八德縣,保全人員／警衛
C00103,80,Female,Medium,楊梅縣,水電工
C00104,59,Male,Medium,桃園,倉管
C00105,35,Female,Medium,臺東縣,建築設計／繪圖人員
C00106,79,Male,Medium,古坑,記者／採編
C00107,48,Male,High,阿里山,電機工程技術員
C00108,26,Male,Medium,新營,攝影師
C00109,39,Female,High,台中,電信及電力線路架設工
C00110,24,Male,Low,彰化市,銀行辦事員
C00111,34,Female,Low,楊梅縣,救生員
C00112,43,Female,High,朴子,生鮮人員
C00113,53,Female,Medium,桃園,系統整合／ERP專案師
C00114,59,Female,High,光復縣,產品企劃主管
C00115,29,Male,Medium,蘆竹市,廠務
C00116,47,Female,Medium,頭份市,微機電工程師
C00117,49,Male,Low,楊梅,產品事業處主管
C00118,46,Male,Low,橫山,專案管理師
C00119,63,Male,Medium,板橋,公家機關人員
C00120,79,Female,Medium,台東縣,影片製作技術人員
C00121,23,Female,Low,板橋縣,資材主管
C00122,57,Female,High,汐止縣,照顧服務員
C00123,48,Male,Medium,永和,升學補習班老師
C00124,30,Male,High,鳳山,技術文件／說明書編譯
C00125,29,Female,Low,花蓮,復建技術師
C00126,74,Male,Medium,新竹縣,商業設計
C00127,68,Male,High,光復,FAE工程師
C00128,72,Female,Medium,褒忠,查帳／審計人員
C00129,56,Female,Medium,新竹市,IC封裝／測試工程師
C00130,51,Male,Medium,高雄,復建技術師
C00131,57,Male,Medium,新營,演奏家
C00132,18,Female,Low,桃園縣,網站行銷企劃
C00133,18,Female,Low,平鎮,電子產品系統工程師
C00134,54,Female,High,北港市,地勤人員
C00135,57,Male,High,高雄縣,食品衛生管理師
C00136,71,Female,Medium,台北,播音／配音人員
C00137,48,Male,High,花蓮,韌體設計工程師
C00138,44,Female,High,臺中市,日式廚師
C00139,74,Male,Medium,頭份,日文翻譯／口譯人員
C00140,27,Male,Low,南投,廣告企劃主管
C00141,48,Male,Low,大里,醫藥業務代表
C00142,55,Male,High,台南市,家事服務人員
C00143,43,Female,Medium,蘆洲,醫藥研發人員
C00144,24,Male,Low,鳳山縣,總機人員
C00145,67,Male,Medium,古坑市,塑膠射出技術人員
C00146,57,Male,Medium,白沙縣,食品衛生管理師
C00147,40,Male,Low,台南,文編／校對／文字工作者
C00148,80,Female,High,苗栗,塑膠模具技術人員
